n_Gen,n_Eval,general_HV,n_valid,valid_HV,min_CV,mean_CV,max_CV,time
1,400,0.14753851248448513,4,0.008872057314329983,0.0,371.97697657050844,42800.21543238454,45127.69909925001
2,600,0.15104176967778254,2,0.002467748646676668,0.0,375.6024261591177,42800.21543238454,29197.443102584002
3,800,0.7612403684732852,2,0.008846600811242543,0.0,5237.58655049831,1020673.0226521321,17864.653827792004
4,1000,0.7593011241461585,1,0.002321470068033995,0.0,5242.288725160227,1020673.0226521321,11587.26881033399
5,1200,0.7785706069186399,0,0.0,0.0824959912962463,4965.685481211555,961239.5351135086,7912.545820540996
6,1400,0.7811162360227278,1,0.0,0.0,4968.062174093513,961239.5351135086,7591.590859166987
7,1600,0.8038884852153949,0,0.0,0.2954207911059502,11984.042709488414,1262182.0509016144,6690.4785481670115
8,1800,0.161955196900137,1,0.021976190516699738,0.0,203.73614847454047,5982.534309374558,8836.800246166997
9,2000,0.08786453974700509,0,0.0,0.06593684758277574,161.86773940303337,4265.128038031496,6955.797449375008
10,2200,0.12219054425461383,1,0.0,0.0,140.26254509806844,331.3805981737537,7048.724620624998
11,2400,0.09972437975313234,1,0.004726082062709551,0.0,138.65465252331057,331.3805981737537,9674.956427457975
12,2600,0.0948125977778434,4,0.009613825167611691,0.0,168.78189686410184,1819.777935091273,9570.511224999995
13,2800,0.15194914580917634,3,0.009613825167611691,0.0,171.35025355432055,387.0620097680438,8831.034428250015
14,3000,0.16793306027463076,2,0.009613825167611691,0.0,3195.6713959240465,513837.0508664163,8893.131085458008
15,3200,0.1677366770310269,4,0.008759029255242447,0.0,191.39918236256287,6267.729289391208,8715.301798
16,3400,0.16219327718212576,2,0.04674421829577853,0.0,1811.4261917331473,330381.1223403398,10399.779517625022
17,3600,1.0192318290387408,1,0.0,0.0,13573.5402067191,1685360.1964062424,14993.232359458983
18,3800,1.0273510938185617,2,0.0,0.0,34068.492769057884,1827820.718829671,14132.543530833005
19,4000,1.0981839969587956,2,0.0,0.0,5442.101439853064,728019.2995469583,9880.712199834
20,4200,1.110066813890119,7,0.006515936912303089,0.0,5848.71932162949,728019.2995469583,8190.493074583006
21,4400,1.0878324502787564,3,0.025247143567466553,0.0,3942.744856478068,728019.2995469583,5735.610802084033
22,4600,0.20249473180773597,5,0.005395739625851233,0.0,5980.495772386423,345068.86502257624,12948.790952124982
23,4800,0.22916536561057546,5,0.0,0.0,21493.343032873705,2900908.161224829,8386.214984415972
24,5000,0.23120220518938106,2,0.0,0.0,11360.442490290308,1853886.57957236,10454.094445790979
25,5200,0.14847337974209934,1,0.00022217097610751057,0.0,11191.339144395197,1853886.57957236,14388.120265666046
26,5400,0.33457235337446717,2,0.00022217097610751057,0.0,2388.608010797971,169813.12546861672,11871.352904875006
27,5600,0.1543615675825498,3,0.008429278070725925,0.0,215.360355736218,736.0549199087286,17019.885875458014
28,5800,0.14381986704557917,1,0.0,0.0,3479.638807959262,428005.4445810137,21747.345627500035
29,6000,0.14225809575400136,0,0.0,0.5230264445989591,245.38511240703363,3444.438524444176,23425.581396542024
30,6200,0.15020457162073156,0,0.0,1.6151737545697884,233.82338719622985,3444.438524444176,20343.366129832983
31,6400,0.143108098038647,1,0.0,0.0,683.3287388389629,67934.41296681295,23701.469169916003
32,6600,0.13326786339333482,0,0.0,1.2267286600380274,334.60058603376854,23380.053390018395,13343.409811167
33,6800,1.7076785863823298,0,0.0,0.6614556569625947,11614.253103626577,2279320.1090254905,11944.432291083998
34,7000,0.13000839482374524,2,0.016340403548678554,0.0,168.59084071573727,334.59748244956074,10787.157034917
35,7200,0.17209075187937997,3,0.0,0.0,299.0650180357651,28908.889515131108,9133.130379959002
36,7400,0.1719533656621519,2,0.0,0.0,424.12181389493327,28908.889515131108,10306.444776375
37,7600,0.18634134975709093,2,0.0,0.0,585.8561806938625,63760.941634597635,10688.62761525
38,7800,0.17123764131057811,2,0.00010994991851010593,0.0,2806.540079306353,524840.4819680639,12259.104128457999
39,8000,0.15968021684745953,0,0.0,0.30313849074495647,3927.9073128364143,749943.2558817723,11359.441178374997
