ANN,DTR,RFR,SVR
9.222093177368854e-06,4.519475699322783e-32,4.519395873403019e-32,1.3554381156045077e-30
1.6600412750942697e-07,4.435973613431905e-32,4.4356364358157525e-32,1.3654114276445809e-30
2.035776622219828e-09,4.5327027756494613e-32,4.532976691669745e-32,1.3648251720561864e-30
9.8300022891188e-08,5.582405129316855e-32,5.582163913702179e-32,1.3630833506156024e-30
1.8774630805251296e-08,3.688290359197234e-32,3.68830924608659e-32,1.3504776356565061e-30
6.560515759970295e-08,5.232981115422239e-32,5.233167743405318e-32,1.3568254181030905e-30
1.1151785758478676e-05,3.5834039625673694e-32,3.583265562736833e-32,1.3444103567490267e-30
4.311617918650422e-06,4.647011278558595e-32,4.647327653669254e-32,1.3617641837244797e-30
7.49018660298628e-08,4.533476420303723e-32,4.533715332134121e-32,1.3596194251556672e-30
1.6894496250642087e-09,4.6169379983575253e-32,4.617038924703058e-32,1.3544653403165998e-30
